,node_sourcebus.3_harmonico_60,node_sourcebus.3_harmonico_180,node_sourcebus.3_harmonico_300,node_sourcebus.3_harmonico_420,node_sourcebus.3_harmonico_540,node_sourcebus.3_harmonico_660,node_sourcebus.3_harmonico_780,node_sourcebus.3_harmonico_900,node_sourcebus.3_harmonico_1020,node_sourcebus.3_harmonico_1140,node_sourcebus.3_harmonico_1260,node_sourcebus.3_harmonico_1380,node_sourcebus.3_harmonico_1500,node_sourcebus.3_harmonico_1620,node_sourcebus.3_harmonico_1740,node_sourcebus.3_harmonico_1860,node_sourcebus.3_harmonico_1980,node_sourcebus.3_harmonico_2100,node_sourcebus.3_harmonico_2220,node_sourcebus.3_harmonico_2340,node_sourcebus.3_harmonico_2460,node_sourcebus.3_harmonico_2580,node_sourcebus.3_harmonico_2700,node_sourcebus.3_harmonico_2820,node_sourcebus.3_harmonico_2940
49,12946.39900892057,0.026265841755187,0.0552316379040787,0.0187314357401482,0.0189677429368192,0.0237562247554815,0.0296045936182059,0.03611392500715,0.0432620296021496,0.0510563537660637,0.0594525524500093,0.0685373170797536,0.0801005764788884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,-605.2266353277886,-0.0125140660045138,-0.0271488168726329,-0.0096012122573208,-0.0096151967033729,-0.0127923184654011,-0.0172516430545352,-0.0231517371773244,-0.031201940799662,-0.0427085213314602,-0.0599245924449025,-0.0862519547122314,-0.123715978416579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,-12336.394674332028,-0.0122742534236858,-0.0251223232778576,-0.0081175208161083,-0.0093274102428841,-0.0124145037918277,-0.0162957924503417,-0.0210990147859893,-0.0272485967443693,-0.03547823323177,-0.0469889230474735,-0.0634836629733672,-0.085741114728205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,12946.313366357686,0.0262666831712987,0.0552336369554247,0.0187291125142488,0.0189645063340438,0.0237523493948421,0.0296000545667471,0.0361086474133092,0.0432559094899007,0.0510492514406685,0.0594442770737148,0.0685276100202813,0.0800891305401563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,-606.2593301545489,-0.012521765464661,-0.0271712581241894,-0.0095668007254018,-0.0095682160296361,-0.012738302542861,-0.0171917803786918,-0.023087118932267,-0.0311343104297445,-0.0426408299219512,-0.0598616952625512,-0.0862009219810818,-0.12368245773697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,-12332.299438684153,-0.0122841976348386,-0.0251443932890182,-0.0080802348125693,-0.009279786173189,-0.012359386208355,-0.0162334017366716,-0.0210294963156132,-0.0271723841676819,-0.0353962982726145,-0.0469030972579283,-0.0633967828202649,-0.0856552727706536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,12943.65820703876,0.0262927638254548,0.0552955963803867,0.0186570848578994,0.0188641558426256,0.0236321826766871,0.0294592912832333,0.0359449579254041,0.0430660591049371,0.0508288958101401,0.0591874839318577,0.0682263410407333,0.0797338208867266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,-606.5354512380799,-0.0125181360073043,-0.0271538725379664,-0.0095613508460621,-0.0095862966451349,-0.0127897128099228,-0.0172939719416029,-0.0232674139764537,-0.0314354818700593,-0.043131049558782,-0.0606500184013041,-0.0874502890633711,-0.1255572290825433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,-630.1570372352236,-0.0127825326889807,-0.0279846399590665,-0.0084533147907273,-0.0079061966008568,-0.0106491313194485,-0.0146097933772356,-0.0198840005867212,-0.0271090367760194,-0.0374757617797252,-0.0530463910293135,-0.0769492597801825,-0.1110999500807947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,-12186.134528370289,-0.0126065128169138,-0.025892831814552,-0.0068570080068484,-0.0076603434615527,-0.0104119228082781,-0.0139220966791326,-0.0182924246431726,-0.0239204233234602,-0.0314985981668832,-0.0421634484615249,-0.0575343784455184,-0.0783860345090062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,12866.394533643785,0.0271511946936793,0.0573026120011566,0.016269596464745,0.0155778905573327,0.0197386611349644,0.0249568245239264,0.0307964913023872,0.0372293571874742,0.044265679875576,0.0518704490330125,0.0601301811375558,0.0707136785564609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,-607.2912915635044,-0.0123923907512535,-0.0265967912125624,-0.0093475153401759,-0.0098753631588966,-0.0137389702175733,-0.0192265669068519,-0.0266956912748865,-0.0371577565267182,-0.0524016675133644,-0.0754196144114845,-0.110459184184856,-0.1589764894407291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
