,node_sourcebus.3_harmonico_60,node_sourcebus.3_harmonico_180,node_sourcebus.3_harmonico_300,node_sourcebus.3_harmonico_420,node_sourcebus.3_harmonico_540,node_sourcebus.3_harmonico_660,node_sourcebus.3_harmonico_780,node_sourcebus.3_harmonico_900,node_sourcebus.3_harmonico_1020,node_sourcebus.3_harmonico_1140,node_sourcebus.3_harmonico_1260,node_sourcebus.3_harmonico_1380,node_sourcebus.3_harmonico_1500,node_sourcebus.3_harmonico_1620,node_sourcebus.3_harmonico_1740,node_sourcebus.3_harmonico_1860,node_sourcebus.3_harmonico_1980,node_sourcebus.3_harmonico_2100,node_sourcebus.3_harmonico_2220,node_sourcebus.3_harmonico_2340,node_sourcebus.3_harmonico_2460,node_sourcebus.3_harmonico_2580,node_sourcebus.3_harmonico_2700,node_sourcebus.3_harmonico_2820,node_sourcebus.3_harmonico_2940
20,-7554.901299249231,0.0117998279416649,0.0190749573829811,0.0273631172539924,0.0357482318699937,0.044066799336967,0.052404577643367,0.0607976078042275,0.0692696988197578,0.0778373791449952,0.0864988243669598,0.0951924443853009,0.1037032536681861,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
22,-7509.164567593669,-0.023727574294656,-0.0382709223918047,-0.0546462490166043,-0.0714653377681791,-0.0881329492799596,-0.1048236401526536,-0.1216165862372633,-0.1385710157061572,-0.1557533991464176,-0.1732617748506577,-0.191273302615328,-0.2101350203084095,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
24,14569.294674225344,0.0108236118444109,0.0114728699300483,0.0175027163434772,0.026160462753043,0.0341553356337396,0.0421573995385471,0.0504691780384779,0.0592632873542099,0.0685991738415615,0.0782281825830555,0.0869095845202166,0.0907317004004617,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
26,-7615.349969488173,0.0110632300724192,0.0104577376720104,0.0183521552344769,0.0269937916823248,0.0349908111322359,0.043045235440263,0.0514393775813137,0.0603518189137353,0.0698990767652597,0.080042453835841,0.0902399678418888,0.0986593489638866,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
28,-7237.48348983978,-0.0232208170428984,-0.0219580676460701,-0.0360687634648947,-0.0537706110370446,-0.0700239908253027,-0.0862575568112048,-0.1030941678972451,-0.1209869677489579,-0.140447774916641,-0.1622506673529893,-0.1878300359139892,-0.2200410141987594,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
30,-7614.371221976038,0.0110609031320158,0.0104539597687847,0.0183486411586371,0.0269908434873985,0.0349900784874812,0.0430489628785382,0.0514504219698314,0.0603736871082808,0.069935887248521,0.080098611178629,0.0903189693054873,0.0987608373401209,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
32,14026.940432086403,0.0097127813285661,0.0024553566926721,0.0059836450815018,0.0146744407733276,0.0218367839536028,0.0287705615154675,0.0360252632975194,0.0438809721757907,0.0523898743082062,0.0610176679366426,0.0673901923160729,0.0642593790665482,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
34,-7682.721813532281,0.0102148926007343,0.0004332470827438,0.0077229934080389,0.0163782139029055,0.0235304432326741,0.0305392687735362,0.0379083242625334,0.0459229000865473,0.0547380228797476,0.0642112313277289,0.0732742266438704,0.0785251364319012,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
36,-6922.576394233196,-0.0225922399152074,-0.0028912746866013,-0.0140884497951274,-0.0322419194378979,-0.0470944222520767,-0.0614253290293105,-0.076366591924055,-0.0926790225894486,-0.1111950171415812,-0.133189097509598,-0.1610858612019028,-0.199800900957742,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
38,13594.2257512471,0.0088243931700264,-0.0046817709157761,-0.0031825272395518,0.0053853140852359,0.0116463112859912,0.0173628741499639,0.0232382466069649,0.0295908858658533,0.0364270642551568,0.0430033031287225,0.0463028794760444,0.0374267434808639,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
